,J,M,X,E,M2,M4,dM,dE,dE2,dM2,dM4,time_correlation_mag,dX
9,0.435,0.1875078125,409.7313065871458,-156.2158080000004,0.48179849853515627,0.2893578923799098,0.011367351261826171,0.31577736014597746,97.51681391269945,0.0039031188584481248,0.0033943870825148543,0.037024117045715024,5.034709750620765e-14
15,0.436,0.1946546875,402.3242353942551,-157.98930880000063,0.49891182861328126,0.3042236164189875,0.01154942443866072,0.3117654196321934,97.29778417494124,0.003822954563407765,0.003375668974496477,0.037027357414088614,5.221242530571295e-14
0,0.437,0.11111875,387.5640578381317,-158.72853839999962,0.50880078125,0.31048135805130006,0.011992185501896574,0.30586459801585786,95.96333481284736,0.0036854152474460325,0.0033260749797174565,0.03707159605647244,5.1089356053617035e-14
7,0.438,0.0568671875,371.9727390054395,-161.96959680000035,0.5452847778320312,0.34226945270970466,0.012540686534383661,0.2975734588426717,94.75816188431304,0.0034223433042385896,0.0032325661658945716,0.037130060458053435,5.447634374461889e-14
18,0.439,0.235634375,392.08986569035187,-162.10584239999932,0.535602490234375,0.3365795256406069,0.011795886749389074,0.3071077020874716,97.96812781248406,0.003618751769050214,0.003366683728718657,0.03709126484930367,5.425262445236932e-14
14,0.44,0.0810140625,398.7483205376011,-162.37231999999955,0.5305591918945313,0.33370731147006155,0.012323467745230928,0.30953790760707656,98.78485662168964,0.0037138377850521242,0.0034191160181874076,0.037090361603484764,4.431784075745781e-14
11,0.441,0.2298796875,382.0905088113759,-164.23933680000053,0.5472891967773438,0.3478566879443824,0.011973168403196965,0.30320611263371544,98.17513126045861,0.003564089037966645,0.003384274082383219,0.03710425454525591,3.81193523010877e-14
20,0.442,0.1337515625,387.8907900816848,-165.04775039999947,0.5475889770507812,0.35180648952499033,0.012394827811333251,0.30530710763759394,98.97753953335427,0.0037075466408304685,0.0034401374771084975,0.037117142799800606,5.386289545284579e-14
8,0.443,0.31783125,401.7994319223144,-166.67644639999972,0.561793115234375,0.36546400262415407,0.01155470200945222,0.3107826462554599,101.84619759067985,0.0036276419703299557,0.003488642142054281,0.037080908246060244,5.817984971879815e-14
2,0.444,0.1261171875,357.4815755669988,-168.20638080000046,0.5765305786132813,0.375650482250005,0.012757304050078579,0.29113163339763526,96.21261161024539,0.0033572836150911707,0.003311348227518381,0.03715082208125183,5.716571680528687e-14
19,0.445,0.1567203125,374.81795327933287,-169.34528399999934,0.5806075317382813,0.38312750094905496,0.012704642882698156,0.29907260629966165,99.20613509099834,0.0034705493197116823,0.0034120962976369167,0.03714814138712125,4.457323142229029e-14
10,0.446,0.1002546875,368.82882506009264,-169.6191519999996,0.5785176147460938,0.38063491590246556,0.012846635142906676,0.2974763121820059,98.70876398602948,0.0034755816728272836,0.0033904724971299052,0.03715325936985795,5.3939450578157615e-14
16,0.447,0.027053125,371.62544119997983,-171.13091040000057,0.5901615966796875,0.39407803422063586,0.013085267727973637,0.29936998913641366,100.44738672056985,0.0034838866825987443,0.0034348236064449503,0.0371754551220022,7.382040783097143e-14
3,0.448,0.060421875,350.26356382990343,-172.76206079999943,0.6057548828125,0.40809112016260624,0.013223804712561592,0.2866997308447983,97.0087232853957,0.00326794342566646,0.003316120661230712,0.037167588662097295,6.524576779320555e-14
13,0.449,0.2037953125,361.1455819962357,-173.86070239999975,0.6087486938476563,0.41418671405389906,0.012835198468603287,0.29333125142924976,99.35376350036367,0.003383086297858341,0.0033576998038706467,0.03716889757941273,7.288679293497525e-14
5,0.45,0.2158640625,343.8525011184138,-175.4139600000005,0.6230372436523437,0.4267016974888742,0.012940018227405975,0.2835318864483102,97.4181041500036,0.003153114449177409,0.003297457314948844,0.03717395820015034,7.728490250633343e-14
4,0.451,0.2024765625,364.7271395496973,-176.0487519999993,0.6221914916992187,0.4277551865182817,0.012992870811262595,0.29399085072482234,101.0526851904757,0.00324338869508009,0.0033778957987357387,0.03717163571898633,8.489200141841755e-14
1,0.452,0.18440625,335.2424929625522,-177.5586175999997,0.635945556640625,0.44093790419101714,0.013226626297049498,0.28219199938139333,98.03860863512809,0.0030724858319380846,0.0032641371846700296,0.037193593720789536,7.26008669683698e-14
17,0.453,0.2274390625,333.2879753141133,-178.52258880000073,0.6409558227539063,0.4468652522005141,0.013084791846914903,0.27913117549686806,97.21257257074902,0.0030429536831343283,0.0032357767926070487,0.03718552192789235,7.791406486284083e-14
6,0.454,0.016584375,343.1860241729337,-179.30966079999948,0.641866162109375,0.4500283268481493,0.013656598502510893,0.2839956312861164,99.11906519767246,0.003140161245094738,0.00328864959732359,0.037200591069217186,7.897757248849159e-14
12,0.455,0.2855265625,317.86143952327257,-181.50714399999958,0.6637816772460937,0.4712733710668981,0.013008483295028777,0.2697587548573456,95.72507007608539,0.0027678868361709023,0.003116328508229706,0.037193090192419516,7.891014501721232e-14
