,J,M,X,E
43,0.25,0.0001890625,698.3072665600339,-570.4312
23,0.26,0.00073916015625,793.7511712398264,-623.4849919999872
11,0.27,0.0001166015625,861.8851234798785,-678.526199999989
5,0.28,0.000146484375,960.538969255751,-736.8609919999702
1,0.29,0.00109189453125,1056.84330482292,-799.3959040000025
2,0.3,9.091796875e-05,1181.2669926335802,-865.3039199999996
45,0.31,0.00058203125,1302.8309144449886,-935.4822879999796
39,0.32,0.00072578125,1406.977552941069,-1010.1637120000105
46,0.33,0.0017533203125,1647.3595229052007,-1088.748408000008
42,0.34,0.0012017578125,1767.6084985320922,-1171.7463519999853
41,0.35,0.0001056640625,1957.890713777626,-1261.7166800000257
36,0.36,0.0026404296875,2172.069726575399,-1356.571872000013
44,0.37,0.00102138671875,2530.313272868283,-1458.6690559999802
31,0.38,0.00038251953125,2684.4955297219567,-1565.8112800000245
22,0.39,0.00141923828125,3074.234924271237,-1682.9807279999952
7,0.4,0.00268779296875,3577.837112422101,-1812.2742399999775
37,0.41,0.0046966796875,4234.912984872237,-1953.8661519999978
10,0.42,0.034402734375,4920.888559621759,-2112.6443519999666
19,0.43,0.004870703125,6922.875754212029,-2302.446351999944
17,0.44,0.60797587890625,8936.949428816326,-2559.572224000194
28,0.45,0.75056357421875,6387.833331705071,-2790.447120000127
13,0.46,0.81196875,5361.74067494832,-2977.272352000139
4,0.47,0.85281337890625,4333.906500913203,-3147.2711520001108
26,0.48,0.8780771484375,3728.669824104756,-3299.4827520001018
8,0.49,0.89620849609375,3295.027797229588,-3440.2241440000175
0,0.5,0.9119775390625,2948.1842553596944,-3576.8408
3,0.51,0.9234775390625,2617.8546524550766,-3703.963535999976
30,0.52,0.93278603515625,2512.1735430862755,-3824.5496639998883
20,0.53,0.9412888671875,2277.6849039588124,-3944.3532799998566
35,0.54,0.94810693359375,2074.280671644956,-4059.0892799998105
12,0.55,0.953890625,1929.4787001684308,-4169.932799999811
34,0.56,0.9589349609375,1755.7264341972768,-4278.294719999691
50,0.57,0.96325419921875,1599.8384491689503,-4383.928823999946
33,0.58,0.967271484375,1461.7865047976375,-4489.141999999753
27,0.59,0.970576953125,1391.925932586193,-4590.963695999888
15,0.6,0.97360537109375,1281.1050814539194,-4691.797439999659
29,0.61,0.97612978515625,1236.1498507000506,-4790.09283199985
47,0.62,0.97845576171875,1141.7400344759226,-4887.32905599951
24,0.63,0.980646875,1034.29964581877,-4984.247016000498
16,0.64,0.98246943359375,974.8107941560447,-5079.207424000089
25,0.65,0.9840951171875,892.5577656887472,-5173.020840000379
21,0.66,0.98559580078125,840.9830482974648,-5266.124159999957
9,0.67,0.9869107421875,783.1835133321583,-5358.252104000306
48,0.68,0.9880619140625,720.5285113602877,-5449.343199999803
40,0.69,0.9891654296875,702.5480658262968,-5540.281032000345
14,0.7,0.99010791015625,659.1997929252684,-5629.925279999784
38,0.71,0.99104521484375,616.1839907765388,-5719.980952000227
18,0.72,0.99181552734375,564.0553552880883,-5808.611519999662
6,0.73,0.992534375,536.3632105141878,-5897.013000000124
49,0.74,0.99319013671875,495.550656452775,-5984.800911999485
32,0.75,0.99382568359375,479.67729264497757,-6072.7356
